x,y,ux,uy,velocity_magnitude
11,9,0.05675934,0.00000000,0.05675934
11,10,0.05631829,0.00000000,0.05631829
11,11,0.05583032,0.00000000,0.05583032
11,12,0.05529529,0.00000000,0.05529529
11,13,0.05471303,0.00000000,0.05471303
11,14,0.05408338,0.00000000,0.05408338
11,15,0.05340615,0.00000000,0.05340615
11,16,0.05268114,0.00000000,0.05268114
11,17,0.05190814,0.00000000,0.05190814
11,18,0.05108694,0.00000000,0.05108694
11,19,0.05021728,0.00000000,0.05021728
11,20,0.04929893,0.00000000,0.04929893
11,21,0.04833163,0.00000000,0.04833163
11,22,0.04731510,0.00000000,0.04731510
11,23,0.04624907,0.00000000,0.04624907
11,24,0.04513325,0.00000000,0.04513325
11,25,0.04396732,0.00000000,0.04396732
11,26,0.04275099,0.00000000,0.04275099
11,27,0.04148393,0.00000000,0.04148393
11,28,0.04016580,0.00000000,0.04016580
11,29,0.03879627,0.00000000,0.03879627
11,30,0.03737498,0.00000000,0.03737498
11,31,0.03590158,0.00000000,0.03590158
11,32,0.03437569,0.00000000,0.03437569
11,33,0.03279696,0.00000000,0.03279696
11,34,0.03116499,0.00000000,0.03116499
11,35,0.02947939,0.00000000,0.02947939
11,36,0.02773978,0.00000000,0.02773978
11,37,0.02594574,0.00000000,0.02594574
11,38,0.02409688,0.00000000,0.02409688
11,39,0.02219278,0.00000000,0.02219278
11,40,0.02023302,0.00000000,0.02023302
11,41,0.01821719,0.00000000,0.01821719
11,42,0.01614485,0.00000000,0.01614485
11,43,0.01401558,0.00000000,0.01401558
11,44,0.01182895,0.00000000,0.01182895
11,45,0.00958451,0.00000000,0.00958451
11,46,0.00728184,0.00000000,0.00728184
11,47,0.00492049,0.00000000,0.00492049
11,48,0.00250002,0.00000000,0.00250002
11,49,0.00002000,0.00000000,0.00002000
12,0,0.05863487,0.00000000,0.05863487
12,1,0.05861176,0.00000000,0.05861176
12,2,0.05854243,0.00000000,0.05854243
12,3,0.05842686,0.00000000,0.05842686
12,4,0.05826500,0.00000000,0.05826500
12,5,0.05805682,0.00000000,0.05805682
12,6,0.05780225,0.00000000,0.05780225
12,7,0.05750121,0.00000000,0.05750121
12,8,0.05715361,0.00000000,0.05715361
12,9,0.05675934,0.00000000,0.05675934
12,10,0.05631829,0.00000000,0.05631829
12,11,0.05583032,0.00000000,0.05583032
12,12,0.05529529,0.00000000,0.05529529
12,13,0.05471303,0.00000000,0.05471303
12,14,0.05408338,0.00000000,0.05408338
12,15,0.05340615,0.00000000,0.05340615
12,16,0.05268114,0.00000000,0.05268114
12,17,0.05190814,0.00000000,0.05190814
12,18,0.05108694,0.00000000,0.05108694
12,19,0.05021728,0.00000000,0.05021728
12,20,0.04929893,0.00000000,0.04929893
12,21,0.04833163,0.00000000,0.04833163
12,22,0.04731510,0.00000000,0.04731510
12,23,0.04624907,0.00000000,0.04624907
12,24,0.04513325,0.00000000,0.04513325
12,25,0.04396732,0.00000000,0.04396732
12,26,0.04275099,0.00000000,0.04275099
12,27,0.04148393,0.00000000,0.04148393
12,28,0.04016580,0.00000000,0.04016580
12,29,0.03879627,0.00000000,0.03879627
